epoch,train_loss,eval_loss,eval_top1,eval_top5
54,2.763320703439781,1.786324375,58.906,82.602
55,2.757547205908222,1.70990375,60.954,84.132
56,2.752923244113807,1.711304375,60.632,83.566
57,2.7454908024730305,1.645689375,62.126,84.818
58,2.739142350787211,1.6812575,61.424,84.336
59,2.7371220414601654,1.684075,61.334,84.352
60,2.730123740703279,1.675361875,61.432,84.34
61,2.72364520029236,1.690685625,61.552,84.31
62,2.720425522001469,1.675706875,62.272,84.474
63,2.713722679319571,1.65373625,62.252,84.752
64,2.71039518460255,1.645969375,61.87,84.66
65,2.702137096486698,1.706278125,61.39,84.364
66,2.6977835352101485,1.625460625,62.588,85.278
67,2.6899688414306517,1.698674375,61.558,84.398
68,2.6848232082578893,1.6394275,62.472,85.016
69,2.677840965363295,1.63322,62.936,85.248
70,2.67409981140517,1.638406875,62.34,84.866
71,2.6679325507539065,1.65967375,62.354,84.77
72,2.66221729694377,1.610068125,63.078,85.31
73,2.6584610582419765,1.581529375,63.496,85.692
74,2.6501034579918734,1.600745,63.398,85.578
75,2.6418174807638826,1.594975625,63.604,85.8
76,2.6388544191326204,1.61386625,62.934,85.416
77,2.632043621174574,1.557065,64.238,86.056
78,2.628448754466796,1.557194375,64.138,86.116
79,2.6166764469676176,1.583306875,63.64,85.766
80,2.612510160229316,1.5494475,64.354,86.112
81,2.6073811818056045,1.547235625,64.402,86.186
82,2.599734606620144,1.5493925,64.31,86.042
83,2.5932217696921454,1.537638125,64.724,86.208
84,2.5887021135440476,1.534285625,64.768,86.266
85,2.580299843404112,1.510099375,65.29,86.628
86,2.5725805851431502,1.510259375,64.988,86.718
87,2.567251509184068,1.5187725,65.262,86.756
88,2.5606986939027916,1.558215,64.636,86.3
89,2.5535090187758644,1.58819,64.26,85.958
90,2.5460918073126253,1.51337,65.366,86.852
91,2.5408928542426796,1.531264375,64.94,86.54
92,2.531683434953924,1.477475,65.992,87.336
93,2.524122136299048,1.491156875,65.872,87.188
94,2.518216907033673,1.463824375,66.424,87.418
95,2.5126547911494956,1.457399375,66.42,87.498
96,2.5049797377336667,1.49000125,65.826,87.12
97,2.496093926314634,1.490033125,66.27,87.164
98,2.4903215651331196,1.451895,66.43,87.488
99,2.4821568873450266,1.43047125,66.966,87.688
100,2.4739912741206567,1.427104375,67.106,87.946
101,2.4672035689277148,1.462823125,66.608,87.466
102,2.459825097970462,1.4476075,67.024,87.778
103,2.4531454139035174,1.415765,67.502,88.098
104,2.4441914132847082,1.42676125,67.4,87.964
105,2.435406147784726,1.40412625,67.734,88.348
106,2.4274082833215864,1.410086875,68.082,88.384
107,2.420051254878469,1.40855,67.602,88.152
108,2.412652437717516,1.4189575,67.6,88.126
109,2.4061149814474274,1.38032875,68.23,88.518
110,2.3954861698639305,1.387936875,68.246,88.466
111,2.3899327287077576,1.3536975,68.672,88.74
112,2.379865683711727,1.37639375,68.578,88.708
113,2.372667532824197,1.354116875,69.06,88.982
114,2.361593813016237,1.345024375,68.894,89.162
115,2.355803405060845,1.339589375,69.396,89.162
116,2.345243646192581,1.320321875,69.396,89.278
117,2.3368381599411854,1.319540625,69.53,89.352
118,2.3292690158838565,1.32319875,69.68,89.258
119,2.319687178581905,1.314721875,69.888,89.442
120,2.3128561193052763,1.318133125,69.898,89.512
121,2.3018761968195482,1.3026575,70.074,89.466
122,2.2929001511310236,1.307216875,70.08,89.45
123,2.284702546529531,1.29716,70.466,89.748
124,2.275281359089467,1.286814375,70.132,89.56
125,2.266232252816222,1.279726875,70.74,90.036
126,2.2594016102353627,1.273380625,70.618,89.938
127,2.2494989595720583,1.263573125,70.868,89.97
128,2.2416392580170115,1.256626875,71.076,90.222
129,2.231020805213454,1.25208875,71.356,90.186
130,2.22395449651671,1.244000625,71.306,90.27
131,2.2147528154472176,1.241535,71.356,90.334
132,2.2077344137043715,1.2339075,71.59,90.408
133,2.1999749444548224,1.2353525,71.738,90.454
134,2.1901903108746557,1.235060625,71.79,90.432
135,2.184518685188131,1.224036875,71.994,90.57
136,2.1766343493583715,1.22503,72.17,90.584
137,2.1706035752843404,1.21888375,72.004,90.634
138,2.164948866796432,1.2185175,72.268,90.654
139,2.1559281514078914,1.21083375,72.21,90.712
140,2.1525925736737688,1.20518,72.384,90.792
141,2.1482231848506577,1.2036875,72.484,90.862
142,2.1438212934486187,1.206954375,72.438,90.79
