epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.945777970443528,6.94926375,0.098,0.488
1,6.261029769189792,5.3250575,6.136,17.576
2,5.2688376207284255,4.15473375,18.054,39.76
3,4.601541002758533,3.52327,27.252,52.202
4,4.183903431044863,3.10618125,33.692,60.04
5,3.8979221625784914,2.862445,38.112,64.89
6,3.6679180345292557,2.6850525,41.704,68.024
7,3.5181008378410477,2.44066125,46.502,72.322
8,3.413782831037311,2.34234,47.678,73.808
9,3.3334300082475314,2.324835,48.306,74.34
10,3.2724047961817817,2.30653125,48.966,74.938
11,3.224989238265386,2.181594375,51.35,77.04
12,3.181018028985442,2.144038125,51.914,77.464
13,3.149365755395839,2.075536875,53.258,78.354
14,3.12174127864714,2.105295625,53.076,77.942
15,3.096715831761021,2.057978125,53.458,78.706
16,3.076938511018311,2.01492375,54.386,79.242
17,3.0563555840347063,1.99426875,54.888,79.862
18,3.042993951774118,1.99309625,55.09,80.062
19,3.0261835238481254,1.94727875,55.684,80.378
20,3.0148258615049275,1.961161875,55.636,80.332
21,3.0033448296699143,1.96366375,55.774,80.256
22,2.9923863332901526,2.094070625,53.358,78.38
23,2.9831503480210273,1.91605625,56.352,80.818
24,2.9732628950939044,1.957345625,55.47,80.208
25,2.9648660490700167,1.896045625,56.708,80.974
26,2.9587844550690865,1.90681,56.86,81.216
27,2.951367021896539,1.93186875,56.58,80.728
28,2.9440774014500986,1.89914125,57.31,81.294
29,2.9383837396535806,1.86288375,57.722,81.682
30,2.6378383786885773,1.49793625,65.832,86.974
31,2.5646072823380943,1.46932,66.67,87.372
32,2.5362738852258557,1.45323125,67.052,87.518
33,2.5162863562946107,1.442230625,67.18,87.76
34,2.504171919357065,1.431534375,67.388,87.758
35,2.4942885034035474,1.428103125,67.418,87.864
36,2.4852713946645584,1.42561375,67.662,87.974
37,2.478021417307569,1.418591875,67.604,87.982
38,2.472116132970215,1.41741875,67.872,88.018
39,2.469006876663722,1.416946875,67.572,88.03
40,2.4651993298630197,1.420574375,67.534,88.116
41,2.4621129545319222,1.411405625,67.71,88.142
42,2.460246120784493,1.417354375,67.624,88.164
43,2.4584482505661542,1.4143,67.67,88.152
44,2.4566943313917684,1.41488,67.818,88.184
45,2.4561950130073975,1.41240625,67.612,88.158
46,2.4548805514465455,1.417523125,67.794,88.082
47,2.4536371134380497,1.4026725,67.804,88.166
48,2.4529967943014945,1.40685,67.876,88.188
49,2.4515164891926062,1.41642,67.588,88.162
50,2.4506907374647042,1.421015,67.73,87.958
51,2.4511573099703003,1.41907,67.552,87.942
52,2.453107092330161,1.414283125,67.622,88.138
53,2.4505550775740126,1.413713125,67.638,88.016
54,2.450449399523221,1.41128625,67.57,88.15
55,2.4510977362982214,1.42798,67.364,88.09
56,2.449714553796871,1.409055625,67.8,88.132
57,2.4494239388764236,1.40641375,67.736,88.178
58,2.447439835835254,1.415519375,67.408,88.062
59,2.4505894492750855,1.420455,67.272,87.884
60,2.3588448105054898,1.329894375,69.478,89.156
61,2.335156119601404,1.323121875,69.716,89.232
62,2.327795452172708,1.31913125,69.766,89.288
63,2.3208714811515923,1.3162575,69.828,89.294
64,2.3187778783663155,1.315419375,69.876,89.4
65,2.3132406753713592,1.3131225,70.036,89.432
66,2.311699402437012,1.307103125,70.124,89.464
67,2.3068383588613264,1.30784,70.132,89.458
68,2.3045371983186476,1.308601875,70.11,89.482
69,2.3030445292766197,1.29931625,70.186,89.532
70,2.3009450391533948,1.309891875,70.146,89.458
71,2.2995246450136855,1.308475,70.05,89.466
72,2.298444714567675,1.306639375,70.102,89.474
73,2.2990573921235486,1.308470625,70.146,89.526
74,2.2951510934809605,1.301150625,70.2,89.538
75,2.2929862198210405,1.305363125,70.132,89.476
76,2.293086736168503,1.304665,70.1,89.51
77,2.2921640197950226,1.306430625,70.24,89.59
78,2.29226402831551,1.2985625,70.208,89.528
79,2.2874289252937428,1.30277375,70.166,89.546
80,2.288686267767802,1.2976025,70.328,89.546
81,2.2886839361992126,1.2968225,70.304,89.57
82,2.2861486646575124,1.30170125,70.264,89.564
83,2.285117702225563,1.299685,70.342,89.536
84,2.285502999786013,1.30117875,70.292,89.61
85,2.282488325917495,1.300281875,70.296,89.622
86,2.281535077238157,1.295358125,70.332,89.608
87,2.282288982210299,1.29339875,70.318,89.652
88,2.2820085640150474,1.2929275,70.38,89.68
89,2.2795478662980067,1.30246375,70.298,89.554
90,2.268725283322972,1.29386,70.42,89.674
91,2.266658478569409,1.294303125,70.416,89.69
92,2.2642980473615415,1.291314375,70.424,89.7
93,2.2627376371008423,1.28928125,70.516,89.742
94,2.262571475681776,1.288783125,70.514,89.71
95,2.263885820200134,1.29114,70.5,89.7
96,2.2637924589764786,1.285928125,70.466,89.762
97,2.2616761431770147,1.2898125,70.514,89.726
98,2.262414268360581,1.28729875,70.536,89.754
99,2.260830957402526,1.289505625,70.576,89.76
100,2.2607787672512534,1.286204375,70.566,89.726
101,2.262270327945859,1.28731375,70.546,89.75
102,2.2615322368396087,1.286550625,70.492,89.76
103,2.261732072240845,1.285146875,70.536,89.756
104,2.2612272042494124,1.28794875,70.592,89.7
105,2.2604808549520023,1.292115,70.536,89.726
106,2.260216190417423,1.28666375,70.552,89.742
107,2.2608786430245162,1.28583875,70.5,89.726
108,2.2598533010394246,1.28766875,70.542,89.756
