epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.696762675085568,6.0189725,2.294,7.86
1,5.7055729082074995,4.62795375,12.608,30.432
2,4.8832491421317155,3.84586125,22.34,45.788
3,4.3644382420450425,3.3604175,29.77,55.308
4,4.0315943046044715,3.01205375,35.412,61.918
5,3.78128759818025,2.7579775,40.19,66.556
6,3.5933403858427013,2.55096375,43.978,70.2
7,3.464540204089356,2.39732625,47.556,73.274
8,3.369790721665983,2.314359375,48.32,74.178
9,3.290992121200317,2.247711875,49.716,75.538
10,3.233428034205445,2.226125,50.68,76.026
11,3.186483773814316,2.109706875,52.862,77.98
12,3.1426232846849613,2.142089375,51.884,77.522
13,3.1101863361978714,2.08224625,53.488,78.576
14,3.0807593499009553,2.06711875,54.394,78.632
15,3.054291168322149,1.9624575,55.48,80.038
16,3.0318011783261527,1.9373125,56.252,80.37
17,3.0096074613403547,1.965338125,55.91,80.26
18,2.993497039013596,1.94464375,56.408,80.706
19,2.973030020958849,1.9105975,56.386,80.94
20,2.957982520069032,1.91235375,57.104,81.144
21,2.943277043720755,1.887636875,57.422,81.41
22,2.928210525599222,1.90333875,57.258,81.344
23,2.9163320056691475,1.868089375,57.468,81.468
24,2.9031703870603742,1.832435,58.342,82.112
25,2.890292755536457,1.849403125,58.202,81.906
26,2.8808144174769446,1.833509375,58.53,82.092
27,2.86862733753812,1.826134375,58.678,82.55
28,2.858517553625631,1.835854375,58.748,82.274
29,2.8481550327823677,1.790839375,59.24,82.856
30,2.8404373945483385,1.810786875,58.594,82.462
31,2.8301499735134263,1.7663225,59.86,83.384
32,2.822560696006822,1.734925,60.4,83.516
33,2.810966372130673,1.75472,60.082,83.336
34,2.8046135024533974,1.9042825,57.198,80.896
35,2.7973000031448305,1.853163125,58.322,82.002
36,2.7883629531964016,1.729201875,60.794,83.766
37,2.7793068253821396,1.68549375,61.678,84.426
38,2.7707364058718014,1.686145,61.71,84.458
39,2.765448245333953,1.708503125,61.18,84.072
40,2.7584998329299015,1.703434375,61.018,84.144
41,2.7516039676040656,1.70689125,61.272,84.108
42,2.745549408933696,1.68222,61.598,84.408
43,2.738761855120353,1.678540625,61.454,84.426
44,2.7301552382401293,1.70860375,61.07,83.954
45,2.7260463874463645,1.646991875,62.218,84.826
46,2.719800478015621,1.6438975,62.242,84.79
47,2.712941150851631,1.662531875,61.934,84.602
48,2.7074716166650963,1.632016875,62.63,85.064
49,2.700403785189004,1.6894025,61.354,84.414
50,2.693478588607882,1.6820625,62.116,84.602
51,2.6899442325150837,1.617278125,63.184,85.152
52,2.6849700944619506,1.615933125,63.138,85.276
53,2.6781756258437803,1.608993125,62.89,85.482
54,2.67230317071345,1.599184375,63.142,85.416
55,2.666896766875194,1.637790625,62.664,85.208
56,2.6609631958379647,1.598085625,63.274,85.382
57,2.6550659200540916,1.5944625,63.534,85.778
58,2.648933288309872,1.6147225,63.188,85.478
59,2.647487694150919,1.637335,62.592,85.068
60,2.639764358116917,1.5929375,63.524,85.684
61,2.634502173794902,1.598426875,63.712,85.718
62,2.6309862902234045,1.582754375,63.626,85.75
63,2.625250704993129,1.57938625,64.148,86.008
64,2.6225857475079724,1.545724375,64.35,86.31
65,2.6162529548496867,1.566145,64.062,86.184
66,2.611401951464398,1.561944375,64.264,86.166
67,2.603863632478273,1.543856875,64.688,86.268
68,2.601440722716915,1.539419375,64.564,86.438
69,2.5964072384418513,1.54321375,64.72,86.36
70,2.592424759171198,1.52605875,65.184,86.55
71,2.5866623638705466,1.55014375,64.644,86.322
72,2.5837445110523554,1.51363125,65.166,86.636
73,2.5811007768381544,1.512824375,65.24,86.698
74,2.573648905431903,1.51441625,65.23,86.826
75,2.5679701890418394,1.515999375,65.346,86.828
76,2.5655851985195666,1.56275875,64.396,86.21
77,2.5619462857654844,1.4885525,65.784,87.162
78,2.559126492161831,1.5073975,65.246,86.724
79,2.551085121018531,1.497648125,65.628,86.766
80,2.547901490895794,1.5196325,65.13,86.676
81,2.544761929466174,1.461914375,66.22,87.226
82,2.5403625554362415,1.500710625,65.644,86.958
83,2.5364697513348804,1.477415,65.964,87.248
84,2.532522018060103,1.472865625,65.774,87.144
85,2.5268264823794584,1.47781,66.018,87.148
86,2.522342360578238,1.495223125,65.772,86.808
87,2.5189569390799784,1.497379375,65.88,87.158
88,2.51639190743374,1.46209625,66.612,87.35
89,2.5112486765281163,1.480709375,65.958,87.34
90,2.507797554624996,1.5021125,65.638,86.848
91,2.5042494583684745,1.461250625,66.338,87.53
92,2.499625552958751,1.4422725,66.806,87.792
93,2.4951943206977223,1.449881875,66.534,87.522
94,2.4917716729738726,1.459951875,66.258,87.344
95,2.4889749408349147,1.44014125,66.604,87.734
96,2.484842494460976,1.458303125,66.668,87.586
97,2.480094568173314,1.446925625,66.732,87.666
98,2.4780968025714607,1.441508125,66.784,87.802
99,2.4727887089578715,1.446355,66.694,87.808
100,2.4689579123527623,1.43917375,67.036,87.762
101,2.4667828750543803,1.43752875,67.216,87.95
102,2.4643187966303826,1.429021875,66.968,87.828
103,2.4616134572882564,1.438863125,66.614,87.704
104,2.457349293882926,1.43322375,66.664,87.76
105,2.452999225493914,1.428938125,67.286,87.966
106,2.44814658078202,1.428643125,67.514,88.148
107,2.4468110429214103,1.4335075,67.088,87.92
108,2.4439376957386663,1.41966375,67.424,88.082
109,2.4415364248684055,1.418485,67.382,88.256
110,2.436777079359592,1.428163125,67.404,88.048
111,2.435566686198689,1.4177425,67.276,87.984
112,2.4297535116594746,1.41145875,67.666,88.208
113,2.4280416997893037,1.4199325,67.476,88.032
114,2.422290226624409,1.38085875,67.932,88.572
115,2.421732503759464,1.398248125,67.898,88.292
116,2.4171922183804764,1.408714375,67.54,87.986
117,2.412995128044827,1.38761,67.826,88.234
118,2.4117721768045426,1.387335625,68.024,88.226
119,2.4073098692927224,1.390979375,68.012,88.366
120,2.4065665005799217,1.400236875,68.026,88.376
121,2.4011689707679484,1.40170875,67.924,88.282
122,2.397499967776694,1.391936875,68.008,88.33
123,2.394935519465788,1.382623125,68.286,88.548
124,2.3923920538649344,1.375603125,68.252,88.412
125,2.389393581963674,1.37978625,68.248,88.476
126,2.387655247446993,1.366879375,68.348,88.65
127,2.384045304270998,1.40219125,68.18,88.388
128,2.3815911489971358,1.371785,68.628,88.718
129,2.375973763829805,1.366595625,68.592,88.71
130,2.3750588852888104,1.37111375,68.478,88.63
131,2.3712873787760755,1.35531875,68.694,88.842
132,2.3693453757691394,1.359761875,68.71,88.816
133,2.366496905410621,1.3781925,68.642,88.638
134,2.3618106907419856,1.3765475,68.62,88.704
